0.293,111.36,101.474,101.222
0.294,111.349,101.459,101.21
0.295,111.338,101.444,101.199
0.296,111.327,101.429,101.187
0.297,111.316,101.413,101.175
0.298,111.304,101.398,101.164
0.299,111.293,101.383,101.152
0.3,111.282,101.368,101.141
0.301,111.271,101.354,101.13
0.302,111.259,101.339,101.118
0.303,111.248,101.324,101.107
0.304,111.237,101.309,101.096
0.305,111.225,101.294,101.085
0.306,111.214,101.28,101.073
0.307,111.202,101.265,101.062
0.308,111.191,101.251,101.051
0.309,111.179,101.236,101.04
0.31,111.168,101.222,101.029
0.311,111.156,101.207,101.018
0.312,111.144,101.193,101.007
0.313,111.133,101.179,100.996
0.314,111.121,101.165,100.985
0.315,111.109,101.15,100.974
0.316,111.098,101.136,100.964
0.317,111.086,101.122,100.953
0.318,111.074,101.108,100.942
0.319,111.062,101.094,100.931
0.32,111.05,101.08,100.921
0.321,111.038,101.066,100.91
0.322,111.026,101.052,100.899
0.323,111.014,101.039,100.889
0.324,111.002,101.025,100.878
0.325,110.99,101.011,100.868
0.326,110.978,100.998,100.857
0.327,110.966,100.984,100.847
0.328,110.954,100.97,100.837
0.329,110.942,100.957,100.826
0.33,110.93,100.943,100.816
0.331,110.918,100.93,100.806
0.332,110.906,100.916,100.795
0.333,110.893,100.903,100.785
0.334,110.881,100.89,100.775
0.335,110.869,100.877,100.765
0.336,110.857,100.863,100.755
0.337,110.844,100.85,100.744
0.338,110.832,100.837,100.734
0.339,110.82,100.824,100.724
0.34,110.807,100.811,100.714
0.341,110.795,100.798,100.704
0.342,110.782,100.785,100.694
0.343,110.77,100.772,100.685
0.344,110.758,100.759,100.675
0.345,110.745,100.746,100.665
0.346,110.733,100.734,100.655
0.347,110.72,100.721,100.645
0.348,110.707,100.708,100.635
0.349,110.695,100.695,100.626
0.35,110.682,100.683,100.616
0.351,110.67,100.67,100.606
0.352,110.657,100.658,100.597
0.353,110.644,100.645,100.587
0.354,110.632,100.633,100.577
0.355,110.619,100.62,100.568
0.356,110.606,100.608,100.558
0.357,110.594,100.595,100.549
0.358,110.581,100.583,100.539
0.359,110.568,100.571,100.53
0.36,110.556,100.559,100.52
0.361,110.543,100.546,100.511
0.362,110.53,100.534,100.502
0.363,110.517,100.522,100.492
0.364,110.504,100.51,100.483
0.365,110.492,100.498,100.474
0.366,110.479,100.486,100.464
0.367,110.466,100.474,100.455
0.368,110.453,100.462,100.446
0.369,110.44,100.45,100.437
0.37,110.427,100.438,100.427
0.371,110.414,100.426,100.418
0.372,110.401,100.415,100.409
0.373,110.388,100.403,100.4
0.374,110.375,100.391,100.391
0.375,110.362,100.379,100.382
0.376,110.349,100.368,100.373
0.377,110.336,100.356,100.364
0.378,110.323,100.345,100.355
0.379,110.31,100.333,100.346
0.38,110.297,100.322,100.337
0.381,110.284,100.31,100.328
0.382,110.271,100.299,100.319
0.383,110.258,100.287,100.31
0.384,110.245,100.276,100.302
0.385,110.232,100.265,100.293
0.386,110.219,100.253,100.284
0.387,110.206,100.242,100.275
0.388,110.193,100.231,100.266
0.389,110.18,100.219,100.258
0.39,110.166,100.208,100.249
0.391,110.153,100.197,100.24
0.392,110.14,100.186,100.232
0.393,110.127,100.175,100.223
0.394,110.114,100.164,100.214
0.395,110.101,100.153,100.206
0.396,110.087,100.142,100.197
0.397,110.074,100.131,100.189
0.398,110.061,100.12,100.18
0.399,110.048,100.109,100.172
0.4,110.035,100.098,100.163
0.401,110.021,100.087,100.155
0.402,110.008,100.077,100.146
0.403,109.995,100.066,100.138
0.404,109.981,100.055,100.129
0.405,109.968,100.044,100.121
0.406,109.955,100.034,100.113
0.407,109.942,100.023,100.104
0.408,109.928,100.013,100.096
0.409,109.915,100.002,100.088
0.41,109.902,99.9914,100.08
0.411,109.888,99.9809,100.071
0.412,109.875,99.9704,100.063
0.413,109.862,99.9599,100.055
0.414,109.848,99.9495,100.047
0.415,109.835,99.9391,100.038
0.416,109.822,99.9287,100.03
0.417,109.808,99.9183,100.022
0.418,109.795,99.908,100.014
0.419,109.782,99.8977,100.006
0.42,109.768,99.8875,99.9978
0.421,109.755,99.8772,99.9897
0.422,109.742,99.867,99.9817
0.423,109.728,99.8568,99.9736
0.424,109.715,99.8467,99.9656
0.425,109.702,99.8365,99.9576
0.426,109.688,99.8265,99.9497
0.427,109.675,99.8164,99.9417
0.428,109.661,99.8063,99.9338
0.429,109.648,99.7963,99.9258
0.43,109.635,99.7863,99.9179
0.431,109.621,99.7764,99.91
0.432,109.608,99.7664,99.9022
0.433,109.594,99.7565,99.8943
0.434,109.581,99.7466,99.8865
0.435,109.568,99.7368,99.8787
0.436,109.554,99.727,99.8709
0.437,109.541,99.7171,99.8631
0.438,109.527,99.7074,99.8553
0.439,109.514,99.6976,99.8476
0.44,109.5,99.6879,99.8399
0.441,109.487,99.6782,99.8321
0.442,109.474,99.6685,99.8244
0.443,109.46,99.6589,99.8168
0.444,109.447,99.6492,99.8091
0.445,109.433,99.6396,99.8015
0.446,109.42,99.6301,99.7938
0.447,109.406,99.6205,99.7862
0.448,109.393,99.611,99.7786
0.449,109.379,99.6015,99.771
0.45,109.366,99.592,99.7635
0.451,109.353,99.5825,99.7559
0.452,109.339,99.5731,99.7484
0.453,109.326,99.5637,99.7409
0.454,109.312,99.5543,99.7334
0.455,109.299,99.545,99.7259
0.456,109.285,99.5356,99.7184
0.457,109.272,99.5263,99.7109
0.458,109.259,99.517,99.7035
0.459,109.245,99.5078,99.6961
0.46,109.232,99.4986,99.6887
0.461,109.218,99.4893,99.6813
0.462,109.205,99.4801,99.6739
0.463,109.191,99.471,99.6665
0.464,109.178,99.4618,99.6592
0.465,109.164,99.4527,99.6518
0.466,109.151,99.4436,99.6445
0.467,109.138,99.4345,99.6372
0.468,109.124,99.4255,99.6299
0.469,109.111,99.4164,99.6227
0.47,109.097,99.4074,99.6154
0.471,109.084,99.3984,99.6082
0.472,109.07,99.3895,99.6009
0.473,109.057,99.3805,99.5937
0.474,109.044,99.3716,99.5865
0.475,109.03,99.3627,99.5793
